"生徒ＩＤ","学校区分","学年区分","高等部校舎コード","姓","名","カナ姓","カナ名","メールアドレス","志望校コード","大学名","学部名","学科名"
"21011966","4","3","1095","****","****","****","****","g*rsp*r@*c**ld.c*m","000511510530","北海道大学","工","機械知能工学系-後期"
"24006529","4","3","1095","****","****","****","****","bk**s**b@gm*il.c*m","008515680230","筑波大学","生命環境学群","生物資源-後期"
"18016444","4","3","1095","****","****","****","****","x*ng*i*nji*nd*@gm*il.c*m","031502010110","神戸大学","法","法律-前期"
"23005265","4","3","1095","****","****","****","****","b**s*1*7shr*6@icl**d.c*m","031503510110","神戸大学","経営","経営-前期"
"20009713","4","3","1095","****","****","****","****","j**iw*k*m***@icl**d.c*m","023510510110","静岡大学","情報","情報科学-前期"
"23003811","4","3","1095","****","****","****","****","b***.ch**r*n*s*k*@icl**d.com","023510510110","静岡大学","情報","情報科学-前期"
"21006235","4","3","1095","****","****","****","****","**s*king2*081217@gm*il.c*m","023510810510","静岡大学","理","生物科学-前期"
"22003192","4","3","1095","****","****","****","****","*r*162*@icl**d.c*m","023511510110","静岡大学","工","機械工-前期"
"15016496","4","3","1095","****","****","****","****","*k*z*42*@gm*il.c*m","024013010110","浜松医科大学","医","医学-前期"
"19015725","4","3","1095","****","****","****","****","*ckc*izm*717@gm*il.c*m","024013010110","浜松医科大学","医","医学-前期"
"20013515","4","3","1095","****","****","****","****","sk*z*s**116@***l**k.jp","024013010110","浜松医科大学","医","医学-前期"
"19015731","4","3","1095","****","****","****","****","h*n*n8221@*cl**d.c*m","024013010110","浜松医科大学","医","医学-前期"
"21011654","4","3","1095","****","****","****","****","*319*y**@gm*il.c*m","024013010210","浜松医科大学","医","看護-前期"
"23003118","4","3","1095","****","****","****","****","k*n*.*k*m*@icl**d.c*m","024013010210","浜松医科大学","医","看護-前期"
"17007572","4","3","1095","****","****","****","****","h*r***m*t*.c*rp*819@gm*il.c*m","024503010110","名古屋大学","経済","経済・経営-前期"
"19013447","4","3","1095","****","****","****","****","*74d*@*cl**d.c*m","028009040111","京都大学","総合人間","全学系(文系)-前期"
"17010237","4","3","1095","****","****","****","****","k*n*.911@*cl**d.c*m","028011510211","京都大学","工","電気電子工-前期"
"16022281","4","3","1095","****","****","****","****","m*b*ki72*@gm*il.c*m","036013210310","広島大学","歯","口腔/口腔工学-前期"
"22000667","4","3","1095","****","****","****","****","s*pr.c*l*n*6n12*1@gm**l.c*m","060013010110","横浜市立大学","医","医学-前期"
"20016462","4","3","1095","****","****","****","****","k**d*1m***h*4@gm**l.c*m","067503010110","名古屋市立大学","経済","全学科-前期"
"21001133","4","3","1095","****","****","****","****","h*r***1**1.n@icl**d.c*m","157003510201","青山学院大学","経営","マーケティング-Ａ方式"
"20009763","4","3","1095","****","****","****","****","m*m*gi*_*1*0*@icl**d.c*m","031508010110","","",""
"20015211","4","3","1095","****","****","****","****","m*y***m*714@gm*il.c*m","169007360100","","",""
"22000392","4","3","1095","****","****","****","****","*r*mb*n*2**1@*cl**d.c*m","888800000003","","",""
"19010729","4","3","1095","****","****","****","****","n**-c*nd*r*ll*@s*f*b*nk.n*.jp","770907010101","","",""
"18001886","4","3","1095","****","****","****","****","ch**nd**j*nch*ng@gm**l.c*m","023501120310","","",""
"16005502","4","3","1095","****","****","****","****","**m*y*11*89@gm**l.c*m","058817020104","","",""
"17019310","4","3","1095","****","****","****","****","**b*.x.xv@gm**l.c*m","065513410101","","",""
"17011348","4","3","1095","****","****","****","****","m*y*21**01@*cl**d.c*m","065513410101","","",""
"15018293","4","3","1095","****","****","****","****","j**n.*chi2@gm*il.c*m","065513410101","","",""
"21002886","4","3","1095","****","****","****","****","n**s*p*n129@gm**l.c*m","065513410101","","",""
"22017330","4","3","1095","****","****","****","****","m*.y*.***1*740@gm*il.c*m","065513410101","","",""
"22004937","4","3","1095","****","****","****","****","**rxf*69*6@y*h**.c*.jp","065513410101","","",""
"19017541","4","3","1095","****","****","****","****","n**s*k*h*n@gm*il.c*m","","","",""
"26001044","4","3","1095","****","****","****","****","m***k**c@gm*il.c*n","","","",""
"26002154","4","3","1095","****","****","****","****","n*k*2y_**m@y*h**.c*.jp","","","",""
"25015786","4","3","1095","****","****","****","****","sh**rik*m*ch*n4@gm*il.c*m","","","",""
"21009438","4","3","1095","****","****","****","****","ry*24*ch*@gm*il.c*m","023510510501","","",""
"18002567","4","3","1095","****","****","****","****","y***337888*@*cl**d.c*m","060009000110","","",""
"18015179","4","3","1095","****","****","****","****","*r**r**807@*cl**d.c*m","157011010701","","",""
"20012162","4","3","1095","****","****","****","****","n*2*y***@gm**l.c*m","888800000004","","",""
